,id,pg_noSeg,afs_noSeg,cz_noSeg,pz_noSeg,sv_l_noSeg,sv_r_noSeg,tz_noSeg,ur_noSeg
0,234,142.53558222130016,41.22705512793068,108.11398305018761,147.8684166217481,96.28068260336732,94.37674017925777,130.43429334475164,35.373570383167326
1,666,142.84057213174594,85.65095720811642,135.50829891715944,165.9284660408047,79.51503405657387,63.54886176661229,124.63058217665666, 
2,3,256.02919935913894,98.52646146713327,96.50698018427272,267.7995988460806,94.10461021773048,75.98075671522957,154.8467840885405,44.99139749594998
3,4,161.54170045772676,85.07804305095806,102.54826468510637,168.09517848900086,76.05147588418563,99.15080049658452,198.60163701674134,68.02000293939281
4,17,172.57631820401957,98.48961493792265,102.6548176924461,227.8086046326084,135.12014644359053,117.95401159632229,136.7714269531129,43.740977372931766
5,26,163.25694000220037,60.907112220200005,104.64808959313176,186.06089916036228,129.75031056242508,126.10575815221706,126.10575815221706,23.755930370216696
6,27,146.78601830484632,125.77689414426405,71.31745512005723,153.4102155050765,126.67197635838622,113.76504431155283,158.92717298431631,41.0110206080316
7,46,148.5153979233571,76.60062551109802,101.18219613607589,230.96950817921848,116.26572960608239,94.80806104699711,139.41168015540757,48.55316142906426
8,55,129.35599117540326,63.94168480951652,91.25283811336516,189.0061422731027,85.92000371291724,76.38496507722834,92.20480932541994,25.012891492717237
9,57,171.66337385433619,54.842327707888515,90.63642686025258,244.07593520423043,90.22424533766953,80.51475346364313,106.5993607419808,224.38620827150675
10,58,142.75124265516985,25.012891492717237,113.62547640378772,186.18723011765584,149.98801947972734,120.12594245016011,121.29357409608458,42.17902633998547
11,61,130.41090290053504,35.211186452967524,215.55966512044915,46.81085476309569,43.413390574573846,96.19481066954711,19.80187243173448, 
12,74,140.60329546610055,65.78836414966406,91.46078990541868,179.694846799129,79.27820889589398,75.88074470737214,115.00158887930198, 
13,75,141.92560240040865,128.83534083108782,115.22442891745153,187.62285019330858,97.9319631128897,75.1280039547278,112.10052685155891,48.46383195248817
14,79,126.91342670415577,36.1062686670897,115.14302721721413,161.30025011195718,81.09766616303968,98.76791181290284,105.53354735104516,37.201374896926716
15,82,134.80346131103644,102.06536399356725,92.28515295058479,183.7752356949048,85.6609557503546,78.45384585072787,135.66925068625727,43.82557209715689
16,88,127.48799215693862,54.22692914560288,80.66777745640229,173.18629802491108,66.79654037060831,81.4302522325167,115.12893252742252,41.254277200932535
17,90,143.48755343335495,109.80226504042751,94.8973905235732,168.89476431309402,116.26572960608239,74.73368456770595,127.66770918516336, 
18,94,145.13883394287734,60.691451786330326,108.29264200333981,203.837013828522,100.78787674905405,109.2446132153946,108.29264200333981,41.44271556180036
19,95,135.9457866983517,61.85908343225478,83.06409007675289,183.24198700491542,105.68939028176263,85.79367275562365,107.98765209289402, 
20,97,146.88603031270375,119.32342812084735,116.23813344705114,173.65356229829538,100.41663790323504,100.07517554960806,116.65031496963418,50.20831895161752
21,106,149.77235904585766,65.28797540859314,119.38963167197501,154.54754162127267,92.94112010360504,97.84263363631362,131.2229321187953,37.67183219429874
